Corporate Bond Purchase Auction Data,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operation date,"Ticker (d)
",ISIN,Reference instrument,Reference yield (%),Settlement date,Total offers received (nominal £mn),Allocation (nominal £mn),Allocation (proceeds £mn),Clearing spread (bps)(a),Clearing yield (%),Clearing price (£)(b),Allocated at clearing spread (%)(c),,
26/03/2009,PRUFIN 6 7/8 01/20/23,XS0083544212,UKT 5 03/25,3.989,31/03/2009,4.3,3.00,2.51,500,8.989,82.239,-,,
26/03/2009,SGN 4 7/8 03/21/29,XS0232335769,UKT 6 12/28,4.043,31/03/2009,4.0,-,-,-,-,-,-,,
26/03/2009,SGOFP 5 5/8 11/15/24,XS0274270817,UKT 5 03/25,3.989,31/03/2009,4.0,-,-,-,-,-,-,,
26/03/2009,SSELN 8 3/8 11/20/28,XS0399111912,UKT 6 12/28,4.043,31/03/2009,4.7,2.70,3.39,220,6.243,122.436,-,,
26/03/2009,TSCOLN 5 03/24/23,XS0248392812,UKT 5 03/25,3.989,31/03/2009,13.3,5.40,4.94,185,5.839,91.373,-,,
26/03/2009,UU 5 5/8 12/20/27,XS0159728236,UKT 6 12/28,4.043,31/03/2009,1.0,-,-,-,-,-,-,,
26/03/2009,VOD 5 5/8 12/04/25,XS0181816652,UKT 5 03/25,3.989,31/03/2009,1.5,1.50,1.42,225,6.239,92.765,-,,
26/03/2009,WESWAT 5 3/8 03/10/28,XS0214275785,UKT 6 12/28,4.043,31/03/2009,4.5,2.00,1.78,230,6.343,88.488,-,,
27/03/2009,AZN 5 3/4 11/13/31,XS0330497149,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,BRITEL 6 3/8 06/23/37,XS0306772699,UKT 4.25 03/36,4.299,01/04/2009,15.5,6.40,4.94,465,8.949,72.19,-,,
27/03/2009,BRK 5 1/8 05/04/35,XS0218520582,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,CENTRI 7 09/19/33,XS0388006123,UKT 4.25 06/32,4.112,01/04/2009,5.0,-,-,-,-,-,-,,
27/03/2009,FRTEL 5 5/8 01/23/34,FR0010039008,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,GE 5 3/8 12/18/40,XS0182703743,UKT 4.75 12/38,4.264,01/04/2009,5.0,-,-,-,-,-,-,,
27/03/2009,GE 5 5/8 09/16/31,XS0154681737,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,IIILN 5 3/4 12/03/32,XS0104440986,UKT 4.25 06/32,4.112,01/04/2009,27.7,7.00,3.68,800,12.112,50.701,-,,
27/03/2009,NGGLN 6 05/13/38,XS0363511873,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,NGGLN 7 3/8 01/13/31,XS0407912053,UKT 4.25 06/32,4.112,01/04/2009,3.0,-,-,-,-,-,-,,
27/03/2009,NGN 4 7/8 11/15/35,XS0234964533,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,PG 5 1/4 01/19/33,XS0158603083,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,PG 6 1/4 01/31/30,XS0106655235,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,SGN 4 7/8 12/21/34,XS0232332402,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,SGN 6 3/8 05/15/40,XS0362679176,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,SSELN 4 5/8 02/20/37,XS0244171236,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,SSELN 5 1/2 06/07/32,XS0139563166,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,SSELN 6 1/4 08/27/38,XS0383187720,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,TSCOLN 4 7/8 03/24/42,XS0248395245,UKT 4.75 12/38,4.264,01/04/2009,1.4,-,-,-,-,-,-,,
27/03/2009,TSCOLN 5 1/2 01/13/33,XS0159013142,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,TSCOLN 5.2 03/05/57,XS0289810318,UKT 4.25 12/55,4.415,01/04/2009,16.2,-,-,-,-,-,-,,
27/03/2009,TSCOLN 6 12/14/29,XS0105244585,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,UU 5 02/28/35,XS0212708068,,,01/04/2009,0.0,-,-,0,-,-,-,,
27/03/2009,VOD 5.9 11/26/32,XS0158715713,UKT 4.25 06/32,4.112,01/04/2009,5.0,-,-,-,-,-,-,,
